  angle, intensite
  120.13,99.4
  130.5,84.3
  140.38,76.6
  150.42,107.6
  160.67,107.8
  161.42,106.8
  162.5,100.9
  163.5,84.3
  164.48,46.9
  165.58,158.7
  175.58,69.5
 
