  angle, intensite
  120.16,121.7
  130.33,125.6
  140.41,114.4
  150.4,124.3
  155.25,133.5
  156.41,124.9
  157.33,111.2
  158,68.5
  158.5,32
  159.33,69.3
  160.35,136.1
  170.48,146.7
  180.4,124.5

 
